Area,Title,Description,Priority,Status,Assigned To,Change,Type,Target Date,QE comments,Created by,Created on
Receving Line - List View,Filters,"Add following filters

1. Supplier ✅
2. Warehouse - ✅
3. Region - ✅
4. Lot -  ✅
5. Date Created - ✅
6. Date updated - ✅",P1,Done,Arvind Dhakar,UI,Warehouse,"Feb 25, 2026","



",Sai Nagboth,"Feb 22, 2026"
Receving Line - List View,Sub-Statuses,Introduce Sub-Statuses as per status sheet. - Not working at most places,P1,Done,Krupa Panchal,UI,Warehouse,"Feb 24, 2026",,Sai Nagboth,"Feb 22, 2026"
Receving Line - List View,Default Columns Seq for RL,"Change receiving line list view default column sequence

1. Line ID- ✅
2. MPN- ✅
3. Allocation- ✅
4. Status- ✅
5. Status date- ✅
6. Temp Location- ✅
7. PO Number- ✅
8. Quality Inspector- ✅
9. Supplier- ✅
10. xCRM ID- ✅
11. Date Code | Lot Code- ✅
12. Country of Origin- ✅",P0,Done,Arvind Dhakar,UI,Warehouse,"Feb 27, 2026",Location is another column before Temp Location,Phani Yedidi,"Feb 26, 2026"
Receving Line List,Filters,"Filter 

1. Sub Status & Status ✅
2. based on users & role (similar to RFQ/SO)",P2,Done,Arvind Dhakar,UI,Warehouse,,,Sai Nagboth,"Mar 3, 2026"
Receving Line List,Info Pane,"We need to bring info pane ",P1,Done,Krupa Panchal,UI,Warehouse,,,Phani Yedidi,"Feb 25, 2026"
Receving Line List,"Statuses and sub statuses ","Add statuses and sub-statuses as per status sheet for Stock Lines ",P0,Done,Phani Yedidi,,Warehouse,,,Arvind Dhakar,"Feb 25, 2026"
Receving Line List,Coulmns RL - List View,"Receiving line list view  

1. Add  Temp Location as as separate column- ✅
2. Add Location as as separate column- ✅
3. Remove Qty received as it is redundant- ✅
4. Show sub status along with status- ✅
5. For status updated date, show another column “Status date | Updated By”  and add date and time- ✅
6.  Flip Date code and Lot code - Show “Date Code | Lot Code”- ✅
7. Add PO Number | SO Number- ✅",P0,Done,Sai Nagboth,UI,Warehouse,"Feb 27, 2026",,Phani Yedidi,"Feb 26, 2026"
Receving Line List,Coulmns RL - List View,Updated by not showing any name-❌,P0,Done,Krupa Panchal,,Warehouse,,,Phani Yedidi,"Mar 9, 2026"
Receving Line List,MPN / Lind ID search,Search by MPN/Line Number in PO → Receiving Lines list view is not working. (Looks like UI is rightfully sending in the search string in the payload but BE is not honoring),P1,Done,Umamahesh Mutyala,UI,Warehouse,"Mar 11, 2026",,Umamahesh Mutyala,"Mar 2, 2026"
Receving Line List,Allocation Buckets,Field order and labels need to be corrected to: Received Quantity (first) → On Order (second) → Allocated → Available.,P0,Done,Krupa Panchal,UI,Warehouse,"Mar 11, 2026",,Phani Yedidi,"Mar 10, 2026"
Warehouse - RL view,Micro Dashboard,Enable Microdashboard on UI,P0,Done,Krupa Panchal,UI,Warehouse,"Feb 24, 2026",,Sai Nagboth,"Feb 23, 2026"
Warehouse - RL view,Micro Dashboard - BE for RLs,"  

1. All - Everything that is not in Stocked or Closed on status
2. New - Lines that are in created status and sub status of “On Order” or blank.
3. Received - SLs in Received or Pre-Received sub status
4. QC Assigned - SLs that have QC Inspector assigned and in status of “Created”
5. In QC - SLs in QC Started status
6. Inspected - SLs in Inspected status and available qty > 0
7. Failed Inspection - SLs in inspected status and sub status of failed",P0,Done,Andrey Kuznetcov,BE,Warehouse,"Feb 25, 2026",,Sai Nagboth,"Feb 23, 2026"
