Section,Category,Item_Description,Status_Value,Owner,Links
Metadata,Release Info,Environment,Stage,,
Metadata,Release Info,Status,,,
Metadata,Release Info,Prod release owner,"@Umamahesh ,  @Deepti Vaidyula ,  @Harika Guntamukkala",,
Metadata,Release Info,Release date,2026.03.31,,
Metadata,Release Info,DB changes,Connect : hotfix/2026.03.31,,
Metadata,Release Info,Platform,No Change,,
Metadata,Release Info,Notification, No Change,,
Metadata,Release Info,Branch,hotfix/2026.03.31,,
Artefacts,Artefacts,Chip1 CRM WebUI,2026.03.31.8,,
Artefacts,Artefacts,Production Test Data,,,
Artefacts,Artefacts,Update production test data generated here,https://docs.google.com/spreadsheets/d/1jQQV8nW7Rlz6OD6bs4qdRfk517clUb5TRfFz47FoR3s/edit?gid=0#gid=0,,
Artefacts,Artefacts,## QE DOCUMENTATION LINK,HTTPS://ALTIRLLC.SHAREPOINT.COM/:W:/R/SITES/ALTIR-CHIP1/SHARED%20DOCUMENTS/GENERAL/QUALITY%20ENGINEERING/PROJECT%20DOCUMENTS/CHIP1%20QE%20DOCUMENTATION.DOCX?D=W75141A22221E423A9DD922E367268BB5&CSF=1&WEB=1&E=GWICGH,,
Deployed Items,General,"Show Approved for sales pointing to new attribute, Customer.approved",,,
Deployed Items,General,"On Lock Order trigger SO validation and have feasibility to skip validation. Remember valdation is triggered only on first Lock, if user unlocks and locks again it won't",,,
Deployed Items,General,SO UI enhancements,,,
Deployed Items,General,"ShippingAccountNumber and Carrier should come fromAccount.customerInfo , instead of supplier Info (P0)",,,
Deployed Items,General,Remove Vendor Status field needs to be removed from OrderPeopleIsland (General Section) (P0),,,
Deployed Items,General,"Remove NeedBy,LeadTime from Create SO , QuotesCreateSO on line level , and introduce promisedDeliveryDate , ASAP checkbox (backend fields : promisedDeliveryDate , isAsap) - P0",,,
Deployed Items,General,"On OrderLineDetailsIsland , change the mapping of PromisedDeliveryDate to promisedDeliveryDate on backend - P0",,,
Deployed Items,General,"Increase width of PromisedDeliveryDate - P0
billingContact should not be required field and also show the contacts related to that particular account also check if save is getting enabled correctly - P0",,,
Deployed Items,Order BillingIsland,"SO Inbound and Outbound mapping for attributes, tax, ShipAccount number and shippartial options",,,
Deployed Items,SO validations,We are skipping validations during lock line. But the validations are hit during approvals.,,,
