Section,Category,Item_Description,Status_Value,Owner,Links
Metadata,Release Info,Environment,Stage,,
Metadata,Release Info,Status,Good,,
Metadata,Release Info,Prod release owner,@Deepti Vaidyula @Harika Guntamukkala,,
Metadata,Release Info,Release date,2026.05.13,,
Metadata,Release Info,DB changes,Connect : release/2026.05.13,,
Metadata,Release Info,Platform,release/2026.05.13,,
Metadata,Release Info,Notification, No Change,,
Metadata,Release Info,Branch,release/2026.05.12,,
Artefacts,Artefacts,Chip1 Transaction,2026.05.13.4,,
Artefacts,Artefacts,Chip1 CRM WebUI,2026.05.13.6,,
Deployed Items,feat(crm),Reorder Account Contacts 3-dot context menu items (,,,
Deployed Items,feat(crm),),Verified,,
Deployed Items,Feat,"Added new fields on Create a Quote and Edit Quote  (
)  - Enabled on dev",,,
Deployed Items,New Added fields,Delivering To,,,
Deployed Items,New Added fields,Ship Via,,,
Deployed Items,New Added fields,Shipping Account Number,,,
Deployed Items,New Added fields,Inco terms,,,
Deployed Items,New Added fields,"Inco City
generate PDF per quote item instead of whole quote when specific items are selected (",,,
Deployed Items,feat,),Verified,,
Deployed Items,feat,Added QUOTE_ITEM export type to ECrmExportFileType enum,,,
Deployed Items,feat,Updated export mutation to accept dynamic type override per call,,,
Deployed Items,feat,Modified context menu PDF actions to send quote item ID (type QUOTE_ITEM) instead of quote ID (type QUOTE) when acting on a specific row,,,
Deployed Items,feat,"Updated RFQ line FAB bulk PDF action: sends QUOTE_ITEM with selected item IDs when items are checked, falls back to QUOTE with quote ID when nothing selected",,,
Deployed Items,feat,"Enabled ""Generate Quote PDF"" button always (no longer gated on selection)",,,
Deployed Items,feat,Plumbed quoteItemId through QuotePdfMenuItems → useQuotePdfActions so both Quotes list and RFQ Quotes list benefit,,,
Deployed Items,feat,"Backward compatible — existing callers of useExportEntityPdf unchanged; type override is optional
split ""View PDF"" menu into ""View Apex PDF"" and ""View CRM PDF"" in quote/RFQ lists (",,,
Deployed Items,feat,),Verified,,
Deployed Items,feat,"Split the single ""View PDF"" menu item into two separate entries — ""View Apex PDF"" (uses quote.crmId) and ""View CRM PDF"" (uses
quote.id
), both using the export PDF API with the appropriate ID",,,
Deployed Items,feat,Extracted a reusable QuotePdfMenuItems component shared between the RFQ detail quote list and the standalone quotes list,,,
Deployed Items,feat,"Added viewApexPdf / viewCrmPdf translation keys; removed dependency on getQuotePdfCrmDeepLink and region lookup since the export API already
hide outbound-only FAB actions for inbound shipments (",,,
Deployed Items,fix,),Verified,,
Deployed Items,fix,"Hide ""Generate Packing Slip"", ""Generate CRR"", and ""Create Invoice"" from the ShipmentDetails FAB menu for inbound shipments, where these actions are not applicable",,,
Deployed Items,fix,"Related accounts - Show all accounts in the system (
)",,,
Deployed Items,fix,As a user - I should be able to select any accounts from the system as related accounts.,,,
Deployed Items,fix,Backend is in develop,,@Deepti Vaidyula,
Deployed Items,feat(invoice),Add cancel invoice flag and align additional cost calculation in summary (,,,
Deployed Items,feat(invoice),),Verified,,
Deployed Items,feat(invoice),Add cancel invoice checkbox to invoice people form/island,,,
Deployed Items,QE remarks,Replace misc costs label with additional cost in summary (aligned with footer calculation),,,
Deployed Items,QE remarks,"Refactor calculateAdditionalCostAmount to use explicit charge-field sum (shippingCharges + bankCharges + miscCharges + freightInsuranceCharges + tax) instead of total - subtotal fallback
add campaign end date with add-contacts gating, fix goal-modal auto-close and dark-mode chip (",,,
Deployed Items,feat,")
add campaign endDate field to types, create/update payloads, and validation schema
add end date & time pickers to campaign creation form (GeneralDetailsSection)
wire endDate through create & update flows, show in campaign hero and editable island
gate ""Add Contacts"" button + modal behind end-date check, show toast when campaign expired
campaign-goal creation modal now auto-closes after success (wrapSubmit default onSuccess)
remove hardcoded primary.contrastText from GoalChip to fix dark-mode contrast
extract buildEndDateString and isCampaignEnded into shared utils/campaign.ts
add campaign end date translations
remove multiline PDF actions from invoices list, not supported by backend (",Verified,,
Deployed Items,fix(invoices),")
hide Packing Slip, CRR and Create Invoice from inbound shipment context menu (",Verified,,
Deployed Items,fix,),Verified,,
Deployed Items,fix,"Conditionally render Packing Slip, CRR and Create Invoice menu items based on
shipmentType",,,
Deployed Items,fix,"Refactor invoice actions into table footer for clarity (
)",,,
Deployed Items,fix,"This pull request replaces the floating action button (InvoicesFab) with a footer action bar in the table's existing footer. Actions such as ""Generate CRR"", ""Generate Packing Slip"", and ""Generate Invoice PDF"" are now accessible through this footer. The selection state is centralized in `InvoicesSelectionStore` for consistency and easier management. Additionally, unused code related to the stock-line selection was removed for better maintainability. Styled components are used to enhance button styling.*See PR for images.*
change insuranceStatus from free-text to lookup (",,,
Deployed Items,feat(crm),),Verified,,
Deployed Items,feat(crm),"Changed insuranceStatus type from
string
to",,,
Deployed Items,feat(crm),TServerLookup,,,
Deployed Items,feat(crm),"Dev only
harden supply chain with install script blocking and dependency upgrades (
)
add onlyBuiltDependencies to block arbitrary lifecycle scripts from dependencies",,,
Deployed Items,Lock down install scripts,"Upgrade axios from ^1.15.0 to ^1.15.2 (fixes 8+ CVEs including prototype pollution, CRLF injection, SSRF)",,,
Deployed Items,Lock down install scripts,Upgrade qs from ^6.14.0 to ^6.15.1 (fixes DoS vulnerabilities),,,
Deployed Items,Lock down install scripts,"Upgrade react-router-dom from ^6.29.0 to ^6.30.2 (fixes XSS via open redirect)
using functions from date-fns (
)
## OPEN ISSUES ON STAGE
1. I have cancelled the invoice. But I don't see it reflecting in the status of Invoice on Apex and Xcrm.
﻿Chip1Apex
﻿
928fe353-be3d-42c6-9532-21ebd9bb8b3b",,,
Deployed Items,corr_id,And also in the PDF generated for invoice. We should say that it's cancelled.,,,
Deployed Items,corr_id,"We are in a process of adding a status called 'Cancelled'
﻿",,,
Deployed Items,corr_id,"2. The bank charges are mapped to processing charges in the backend. This needs to be displayed in the UI as well.
1. Seeing all SO and Stocklines in Shipments here.
//crm.stage.chip1.info/warehouse/shipments/6a03275f2f985d7581c10075",,,https://crm.stage.chip1.info/sales/invoices/6a057420b169dc4d26f64ad7
Deployed Items,FIXED for SO https,"We are fetching all SO lines when there is no SO mapping in shipment.
2. Without arrival checks the shipment is created in inbound instead of outbound, can you check once
//crm.stage.chip1.info/warehouse/shipments/6a0496d0e50d286e9254c6d2",,,
Deployed Items,FIXED https,3. The processing charges are calculated for invoice but is not in the UI.,,,https://crm.stage.chip1.info/sales/invoices/6a04854b2f1cc66e9cb64014
Deployed Items,FIXED https,BE FIXED,,,
