Section,Category,Item_Description,Status_Value,Owner,Links
Metadata,Release Info,Environment,Stage,,
Metadata,Release Info,Status,Good,,
Metadata,Release Info,Prod release owner,"@Deepti Vaidyula ,  @Umamahesh @Harika Guntamukkala",,
Metadata,Release Info,Branch,release/2026.03.18,,
Artefacts,Artefacts,Chip1 Transaction,2026.03.18.3,,
Artefacts,Artefacts,Chip1 CRM WebUI,2026.03.18.1,,
Artefacts,Artefacts,fn-notification-publisher,2026.03.18.0,,
Artefacts,Artefacts,Production Test Data,,,
Artefacts,Artefacts,Update production test data generated here,https://docs.google.com/spreadsheets/d/1jQQV8nW7Rlz6OD6bs4qdRfk517clUb5TRfFz47FoR3s/edit?gid=0#gid=0,,
Artefacts,Artefacts,QE documentation link,"https://altirllc.sharepoint.com/:w:/r/sites/Altir-Chip1/Shared%20Documents/General/Quality%20Engineering/Project%20documents/Chip1%20QE%20Documentation.docx?d=w75141a22221e423a9dd922e367268bb5&csf=1&web=1&e=gWiCGh ### FOLLOWING ITEMS ARE PART OF THE RELEASE Deployed  tickets as part of the release 2026.03.11 Validation of all the above release items will be performed from QE team once it is deployed ## WHAT'S TESTED FOR THE RELEASE? SRs are not getting default groups added. Should have sales person groups and default region groups.  -  @Deepti Vaidyula - Verified Enable view PDF  @Deepti Vaidyula - Verified Enable email notifications  @Harika Guntamukkala Enable in-app notifications as well  @Harika Guntamukkala Sales Order is failing on creation. Guessing it is related to validations.  @Deepti Vaidyula Need to check if validations are getting triggered correctly. - Verified At the min may be disable validations for now for create to work. - not yet disabled Offer, remove target field mandatory option  @Umamahesh Improvements to sourcing issues we have seen  @Harika Guntamukkala Account -> Details -> Credit Information  @Deepti Vaidyula - Reverted -- made Approved for sales checkbox editable - Verified -- update mapping for Set Credit Info in Children checkbox - Reverted Empty data is showing up under Open RFQ Matches in dashboard - Fixed  @Deepti Vaidyula",,
Artefacts,Artefacts,PO,Add objections island  @Umamahesh,,
Artefacts,Artefacts,PO,"Export Doc  @Umamahesh Sourcing enhancement  @Harika Guntamukkala SR data group changes  @Deepti Vaidyula - Verified Market Offers Inbound fix(only Transaction service change, no connect)  @Umamahesh Notification In App fix( Pending deployment)  @Harika Guntamukkala Offer email only BE, not sure if UI integrated - Can be tested on if UI integrates, can ignore if not  @Harika Guntamukkala Market situation in SR only BE, not sure if UI integrated - Can be tested on if UI integrates, can ignore if not  @Umamahesh Open issues on Stage",,
Artefacts,Artefacts,Private ( https,//app.clickup.com/8651091/docs/880ak-50654/880ak-52214 ),,
Artefacts,Artefacts,Issues on prod,- Link Issue Description Remarks Teams Link Gateway timeout errors on prod.,,
