Section,Category,Item_Description,Status_Value,Owner,Links
Metadata,Release Info,Environment,Stage,,
Metadata,Release Info,Status,Good,,
Metadata,Release Info,Prod release owner,"@Umamahesh ,  @Deepti Vaidyula",,
Metadata,Release Info,Release date,2025.02.12,,
Metadata,Release Info,DB changes,Connect : release/2025.02.12,,
Metadata,Release Info,Platform,No Change,,
Metadata,Release Info,Notification, release/2025.02.12,,
Metadata,Release Info,Branch,Platform : release/2025.02.12,,
Metadata,Release Info,WebUI,No Change,,
Metadata,Release Info,Notification Services,No Change,,
Artefacts,Artefacts,Chip1 MC1 Core,2025.02.12.0,,
Artefacts,Artefacts,Chip1 Part,2025.02.12.0,,
Artefacts,Artefacts,Chip1 Transaction,2025.02.12.0,,
Artefacts,Artefacts,fn connect,"2025.02.12.0 # LIST OF DEPLOYED ITEMS ## SMOKE TESTS Feature/Flow Stage Prod Remarks New User Signup from mc1 Yes yes Mc1 user invite - signup yes -- On stage should suffice Upload Bom & Excess and verify in CRM yes yes Manual RFQ yes yes Active Quote (create, edit, notification) yes yes Sales Order (create, edit, notification) yes yes Lead Account & Transfer yes yes Bids old account -yes old account - yes Parts Tracker(edit and notification) yes With crm team. Seeing error during page load. Search yes yes Page Navigations yes yes ### POST PRODUCTION ISSUE Sales Order email template broken, this happened only on Prod, team fixed template and resolved it Chip1 Part service failed to restart as Chip1 Part deployed before configs are merged, Merged configs to resolve the issue CRM stock checker page is not loading with mc1 filter. Seeing 500 error on loading.",,
